LAST SEEN   TYPE      REASON                       OBJECT                                           MESSAGE
21m         Normal    SuccessfulCreate             replicaset/vllm-int4-6fdd7c4c4f                  Created pod: vllm-int4-6fdd7c4c4f-7fw5w
21m         Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-7fw5w                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
21m         Normal    Started                      pod/vllm-int4-6fdd7c4c4f-7fw5w                   Container started
21m         Normal    Created                      pod/vllm-int4-6fdd7c4c4f-7fw5w                   Container created
20m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-7fw5w                   Startup probe failed: Get "http://10.42.0.84:8000/health": dial tcp 10.42.0.84:8000: connect: connection refused
19m         Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-7fw5w                   Stopping container vllm
19m         Normal    SuccessfulDelete             replicaset/vllm-int4-6fdd7c4c4f                  Deleted pod: vllm-int4-6fdd7c4c4f-7fw5w
19m         Normal    SuccessfulCreate             replicaset/vllm-int4-6fdd7c4c4f                  Created pod: vllm-int4-6fdd7c4c4f-zr6c7
19m         Normal    Started                      pod/vllm-int4-6fdd7c4c4f-zr6c7                   Container started
19m         Normal    Created                      pod/vllm-int4-6fdd7c4c4f-zr6c7                   Container created
19m         Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-zr6c7                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
18m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-zr6c7                   Startup probe failed: Get "http://10.42.0.85:8000/health": dial tcp 10.42.0.85:8000: connect: connection refused
17m         Normal    SuccessfulDelete             replicaset/vllm-int4-6fdd7c4c4f                  Deleted pod: vllm-int4-6fdd7c4c4f-zr6c7
17m         Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-zr6c7                   Stopping container vllm
16m         Normal    SuccessfulCreate             replicaset/vllm-int4-6fdd7c4c4f                  Created pod: vllm-int4-6fdd7c4c4f-kmtcr
16m         Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-kmtcr                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
16m         Normal    Started                      pod/vllm-int4-6fdd7c4c4f-kmtcr                   Container started
16m         Normal    Created                      pod/vllm-int4-6fdd7c4c4f-kmtcr                   Container created
16m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-kmtcr                   Startup probe failed: Get "http://10.42.0.86:8000/health": dial tcp 10.42.0.86:8000: connect: connection refused
14m         Normal    SuccessfulDelete             replicaset/vllm-int4-6fdd7c4c4f                  Deleted pod: vllm-int4-6fdd7c4c4f-kmtcr
14m         Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-kmtcr                   Stopping container vllm
14m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-kmtcr                   Readiness probe failed: Get "http://10.42.0.86:8000/health": dial tcp 10.42.0.86:8000: connect: connection refused
14m         Normal    Started                      pod/vllm-int4-6fdd7c4c4f-hfl66                   Container started
14m         Normal    Created                      pod/vllm-int4-6fdd7c4c4f-hfl66                   Container created
14m         Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-hfl66                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
13m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-hfl66                   Startup probe failed: Get "http://10.42.0.87:8000/health": dial tcp 10.42.0.87:8000: connect: connection refused
12m         Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-hfl66                   Stopping container vllm
12m         Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-7grkb                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
12m         Normal    Created                      pod/vllm-int4-6fdd7c4c4f-7grkb                   Container created
12m         Normal    Started                      pod/vllm-int4-6fdd7c4c4f-7grkb                   Container started
11m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-7grkb                   Startup probe failed: Get "http://10.42.0.88:8000/health": dial tcp 10.42.0.88:8000: connect: connection refused
10m         Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-7grkb                   Stopping container vllm
10m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-7grkb                   Readiness probe failed: Get "http://10.42.0.88:8000/health": dial tcp 10.42.0.88:8000: connect: connection refused
10m         Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-48vvk                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
10m         Normal    Created                      pod/vllm-int4-6fdd7c4c4f-48vvk                   Container created
10m         Normal    Started                      pod/vllm-int4-6fdd7c4c4f-48vvk                   Container started
9m17s       Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-48vvk                   Startup probe failed: Get "http://10.42.0.89:8000/health": dial tcp 10.42.0.89:8000: connect: connection refused
7m54s       Normal    SuccessfulDelete             replicaset/vllm-int4-6fdd7c4c4f                  (combined from similar events): Deleted pod: vllm-int4-6fdd7c4c4f-48vvk
7m54s       Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-48vvk                   Stopping container vllm
7m54s       Normal    ScalingReplicaSet            deployment/vllm-int4                             Scaled down replica set vllm-int4-6fdd7c4c4f from 1 to 0
7m53s       Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-48vvk                   Readiness probe failed: Get "http://10.42.0.89:8000/health": dial tcp 10.42.0.89:8000: connect: connection refused
7m44s       Normal    ScalingReplicaSet            deployment/vllm-int4                             Scaled up replica set vllm-int4-6fdd7c4c4f from 0 to 1
7m43s       Normal    Created                      pod/vllm-int4-6fdd7c4c4f-72l7s                   Container created
7m43s       Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-72l7s                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
7m43s       Normal    Started                      pod/vllm-int4-6fdd7c4c4f-72l7s                   Container started
6m57s       Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-72l7s                   Startup probe failed: Get "http://10.42.0.90:8000/health": dial tcp 10.42.0.90:8000: connect: connection refused
5m28s       Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-72l7s                   Stopping container vllm
5m28s       Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-9mnpx                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
5m28s       Normal    Created                      pod/vllm-int4-6fdd7c4c4f-9mnpx                   Container created
5m28s       Normal    SuccessfulCreate             replicaset/vllm-int4-6fdd7c4c4f                  (combined from similar events): Created pod: vllm-int4-6fdd7c4c4f-9mnpx
5m27s       Normal    Started                      pod/vllm-int4-6fdd7c4c4f-9mnpx                   Container started
5m27s       Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-72l7s                   Readiness probe failed: Get "http://10.42.0.90:8000/health": dial tcp 10.42.0.90:8000: connect: connection refused
4m42s       Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-9mnpx                   Startup probe failed: Get "http://10.42.0.91:8000/health": dial tcp 10.42.0.91:8000: connect: connection refused
2m53s       Normal    SuccessfulCreate             job/forge-k6-saturation                          Created pod: forge-k6-saturation-tzcn2
2m52s       Normal    Created                      pod/forge-k6-saturation-tzcn2                    Container created
